;GASTO TRÁFEGO;;;CAPTAÇÃO CTWA;;;CAPTAÇÃO PRÉ SELL;;;;;CAPTAÇÃO ORG;CAPTAÇÃO TOTAL;;QUALIFICAÇÃO;;;;;CONVERSÃO;;;;;;RESULTADO;;MÉTRICAS / INDICADORES / KPIS;;;;;;;;;;;;;;;;;
;PREENCHER;PREENCHER;PREENCHER;PREENCHER;PREENCHER;FORMULA;PREENCHER;PREENCHER;PREENCHER;PREENCHER;FORMULA;;PREENCHER;FORMULA;PREENCHER;PREENCHER;PREENCHER;PREENCHER;PREENCHER;PREENCHER;PREENCHER;FORMULA;PREENCHER;PREENCHER;PREENCHER;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;FORMULA;
;GASTO;GASTO;GASTO;LEAD;LEAD;CPL;CLICK;VIEW;CLICK;LEAD;CPL;LEADS;LEAD TOTAL;CPL TOTAL;LEAD;LEAD;LEAD;LEAD P/;LEAD;ATENDIMENTOS;ATENDIMENTOS;ATENDIMENTOS;PROPOSTAS;Nº DE VENDAS;VALOR DE VENDAS;FAT LÍQUIDO;ROAS;% Lead -;% Lead -;% MQL -;% MQL -;% Atendimento -;% Proposta -;% LEAD;% LEAD;% LEAD;% LEAD QUALIFICADO;% LEAD QUALIFICADO;% Lead CTWA;% Lead Pré Sell;% Lead Org;% Connect Rate;% View Page;% Lead Meta X;
;CTWA;PRÉ SELL;TOTAL;META;WHATSAPP;CTWA;ADS;PAGE;PG;WHATSAPP;PRÉ SELL;ORGÂNICO;;;QUALIFICADO;DESQUALIFICADO;PARADO NO FUNIL;VENDEDOR;AGENDADO;WHATSAPP;LIGAÇÃO;TOTAL;ENVIADAS;;;;;Venda;MQL;Venda;Atendimento Total;Proposta;Venda;QUALIFICADO;DESQUALIFICADO;PARADO NO FUNIL;P/ VENDEDOR;AGENDADO;;;;Pré Sell;Click Botão;Lead Whatsapp;
TOTAL;R$ 50,00;R$ 100,00;R$ 150,00;30;20;R$ 2,50;100;80;50;30;R$ 3,33;20;70;R$ 2,14;40;20;10;10;30;15;5;20;15;1;R$ 30.000,00;R$ 29.850,00;200;1,43;57,14;2,5;57,14;75;6,67;57,14;28,57;14,29;25;75;28,57;42,86;28,57;80;62,5;66,67;
;GASTO CTWA;GASTO PG;GASTO TOTAL;LEADS META;LEAD;CPL;CLICK ADS;VIEW PAGE;CLICK PG;LEAD;CPL;LEADS;LEAD TOTAL;CPL TOTAL;LEAD;LEAD;LEAD;LEAD P/;LEAD;ATENDIMENTOS;ATENDIMENTOS;ATENDIMENTOS;PROPOSTAS;Nº DE VENDAS;VALOR DE VENDAS;FAT LÍQUIDO;ROAS;% Lead -;% Lead -;% MQL -;% MQL -;% Atendimento -;% Proposta -;% LEAD;% LEAD;% LEAD;% LEAD P/;% LEAD;% Lead CTWA;% Lead Pré Sell;% Lead Org;% Connect Rate;% View Page;% Lead Meta X;
;;;;;WHATSAPP;CTWA;;;;WHATSAPP;PRÉ SELL;ORGÂNICO;;;QUALIFICADO;DESQUALIFICADO;PARADO NO FUNIL;VENDEDOR;AGENDADO;WHATSAPP;LIGAÇÃO;TOTAL;ENVIADAS;;;;;Venda;MQL;Venda;Atendimento Total;Proposta;Venda;QUALIFICADO;DESQUALIFICADO;PARADO NO FUNIL;VENDEDOR;AGENDADO;;;;Pré Sell;Click Botão;Lead Whatsapp;
22/02/2024;R$ 50,00;R$ 100,00;R$ 150,00;30;20;R$ 2,50;100;80;50;30;R$ 3,33;20;70;R$ 2,14;40;20;10;10;30;15;5;20;15;1;R$ 30.000,00;R$ 29.850,00;200;1,43;57,14;2,5;57,14;75;6,67;57,14;28,57;14,29;25;75;28,57;42,86;28,57;80;62,5;66,67;
23/02/2024; R$ 64,00 ;26955;1928;7104;97;65;23468;79;87;1;40;4570;87;37;29079;26;94;68;45;96;49;33;15;6;41;20717;1330;22;54;6;39;92;39;94;24;34;86;39;34;86;22;7;17;59;80
24/02/2024; R$ 69,00 ;11868;11499;19471;66;21;21665;71;18;0;92;27614;81;54;25832;33;100;95;19;94;40;37;72;10;5;27482;6555;29;32;98;31;72;74;12;33;63;11;98;29;71;48;86;74;88;81
25/02/2024; R$ 8,00 ;13731;15247;19625;1;44;16427;9;96;70;62;24974;63;47;17583;43;73;39;86;11;98;67;60;21;37;11082;3421;51;70;4;4;60;29;25;55;56;1;31;82;64;53;61;40;85;51
26/02/2024; R$ 10,00 ;28019;22875;5973;50;23;28296;49;95;69;54;10117;38;90;12868;86;30;56;91;63;0;1;4;65;71;21131;11544;94;20;8;47;50;95;33;43;53;98;28;62;32;99;24;30;33;1
27/02/2024; R$ 162,00 ;8374;3012;29975;93;81;16005;41;95;43;21;24161;48;53;20934;51;12;33;75;10;67;93;16;42;53;2962;2904;53;56;59;71;25;30;54;38;8;30;45;5;6;70;49;44;50;72
28/02/2024; R$ 85,00 ;25808;15360;10621;76;68;29099;31;29;26;99;8519;24;98;13434;66;12;49;86;68;38;19;46;68;74;70;23874;31;2;20;38;35;8;65;21;90;68;37;66;82;38;92;14;86;48
29/02/2024; R$ 60,00 ;16424;1610;15977;48;55;14467;73;24;73;91;15898;77;93;6614;84;22;83;28;56;12;88;24;11;86;7498;22324;69;53;55;39;75;68;69;13;58;12;78;11;83;85;11;9;100;30
01/03/2024; R$ 76,00 ;25566;6596;16613;5;8;29114;68;6;71;21;17755;66;91;3953;55;93;38;16;69;80;67;48;23;14;1458;20066;76;43;95;37;32;2;14;48;77;90;95;74;44;46;66;25;26;67
02/03/2024; R$ 41,00 ;14117;10687;20;30;38;11205;49;0;18;10;29546;2;95;11527;100;9;1;30;30;58;100;7;26;60;13345;11628;64;18;0;62;51;96;97;98;73;46;84;53;60;8;75;25;72;57
